Id;Name;Description;Variable name;Variable name definition URI;Thematic uncertainty threshold;Thematic uncertainty goal;Thematic uncertainty unit of measure;Update frequency threshold;Update frequency threshold unit of measure;Update frequency goal;Update frequency goal unit of measure;Even distribution;Coordinated measure;Horizontal resolution threshold;Horizontal resolution goal;Horizontal resolution unit of measure;Vertical resolution threshold;Vertical resolution goal;Vertical resolution unit of measure;Partial matching dataset;Reason partial matching;Need id;Variable classes-new;Timeliness threshold;Timeliness threshold unit of measure;Timeliness goal;Timeliness goal unit of measure;Data accesses;Completely matching dataset;Citizen science acceptance
85;Species tree per city;The tree species information provides valuable elements for the toxicity, nativeness or invasiveness of a species. Gathering all this information can be beneficial for local authorities to develop current and future strategies and action plans.;Species abundances;https://geobon.org/ebvs/what-are-ebvs/#SpeciesAbundances;;;;4;year;;;;;1;;m;1;;m;"Yes. 1. https://maps.amsterdam.nl/bomen/?LANG=en , 2. https://public.tableau.com/app/profile/dimitris.kosmidis1725/viz/CoAGreenDataDK1/SomeGreen, 3. https://data.iledefrance.fr/explore/?refine.theme=Cadre+de+vie+-+environnement&sort=modified, https://opendata.paris.fr/explore/dataset/les-arbres/map/?disjunctive.typeemplacement&disjunctive.arrondissement&disjunctive.libellefrancais&disjunctive.genre&disjunctive.espece&disjunctive.varieteoucultivar&disjunctive.stadedeveloppement&disjunctive.remarquable&basemap=jawg.dark&location=19,48.82769,2.34281, 4. https://ajuntament.barcelona.cat/atlesbiodiversitat/en/, 5. https://dados.gov.pt/en/datasets/arvoredo/#_ ";Not all species are recorded, city is partially mapped.;92;Biodiversity (EBV);1;year;;;View and Download Service (OGC);;
88;Physical water parameters;Longer insitu data and models;Chl, T, currents, salinity;;5;;cm/s;1;hour;;;;;5;;km;5;;m;Data in www.euskoos.es;We use it but need more data and resolution;95;Water (EWV);3;hour;;;;;
89;Bio-physical water quality parameters anywhere in the world;To validate the atmospheric correction, we need in situ remote sensing reflectance.;Water Quality;https://www.geoglows.org/pages/working-group-3/#WaterQuality;;;;1;hour;;;No it isn't;not needed;;;;;;;Lake data: https://wldb.ilec.or.jp/, Reflectance and supporting data: https://limnades.stir.ac.uk/Limnades_login/index.php, Reflectance data: WISPcloud (info in https://zenodo.org/record/2533079#.Y5hgg33MK3A);;96;Water (EWV);1;month;;;View and Download Service (OGC);;
90;Wind Speed and Direction in the Mediterranean Sea;Continuous and quality checked in-situ data;Wind Speed and Direction;https://gcos.wmo.int/en/essential-climate-variables/surface-wind;;;;;;15;day;Yes it is;meteorological stations;;1;km;200;10;m;Apulia Regional Network of Air Quality (http://old.arpa.puglia.it/web/guest/qariainq2);;97;Atmosphere (ECV);;;1;hour;Cloud Service;;
91;Fine particulate matter concentrations (e.g. PM2.5 and PM10);Measurements of the mass of particulate matter  (dust in ambient air) using special filters and Beta-ray absorption method.;PM2.5;https://www.eea.europa.eu/help/glossary/eea-glossary/pm2.5;0.5;;Âµg/m3;24;hour;;;Yes it is;Weather parameters, meteorological stations;15;;km;;;;Yes, Bari city (southern Italy);Uncertainties values associated to the measurement (available upon request);98;Atmosphere (ECV);;;;;View and Download Service (OGC);;
92;Meteorology and air pollution over European cities (Athens etc);;urban air pollution, local meteorological conditions;;;;;1;hour;;;;;;;;200;;m;;the vertical profile;99;Atmosphere (ECV);1;day;;;Download Service (OGC);;
93;Soil samples around Europe;in situ soil samples data (preferable multiple within one field);soil carbon content, soil nutrients content, soil moisture;;;;;2;week;;;No it isn't;altitude, soil type, soil and air temperature, rainfall 1 month prior to measurement;100;;m;;;;;;100;Terrestrial (ECV);1;year;;;Download Service (OGC);;
94;Yield from harvesters around Europe;actual yield data collected by harvesters (tonnes of collected crop per point - sensed every 1 second);tonnes of collected crop per point - sensed every 1 second;;;;;1;year;;;Yes it is;time of collection;2;;m;;;;webservice-energy GEO Energy community portal: http://www.webservice-energy.org/resources-list/in-situ-data;not for commercial use;100;Agriculture (EAV);1;year;;;Download Service (OGC);;
95;Phenology data around Europe;Phenology data for various crop types - collected by in-situ campagins of agronomists;crop individual height, number of leaves, observed vitality, dates of phenological milestones (such as blooming);;;;;1;week;;;No it isn't;date, meteorological attributes;100;;m;;;;Yes;One season we were frequently collecting in-situ phenological data of corn fields (height, number of leaves, date of blooming and so on), not enough samples.;100;Biodiversity (EBV);1;year;;;Download Service (OGC);;
96;Tree damaging / vitality loss events around Europe;in-situ observed tree damaging events -in city + in open forests / or observed graduall vitality decrease;Date(range) of event (e.g drought) / Intensity of event / Observed effects on tree group;;;;;;;;;meteorological attributes;;;;;;;;yes;we worked with data of tree inventory - but on limited number of locations. Not enough samples to make conclusions.;100;Terrestrial (ECV);1;year;;;Download Service (OGC);;
97;Air quality in Europe;Hourly air quality measurements on various pollutants with a diverse spatial coverage (not only in highly polluted areas).;NO2, PMs, CO, SO2, O3 concentration in the air.;;5;;Âµg/m3;1;hour;;;Yes it is;;1;;km;;;;ATMO (France);;101;Atmosphere (ECV);;;;;Download Service (OGC);;
98;Solar radiation worldwide;Best possible information about the quality and reliability of solar radiation;Downwelling solar radiation at surface, possibly with its direct and diï¬€use components;https://www.researchgate.net/publication/336698640_Which_variables_are_essential_for_renewable_energies;;;;1;hour;;;No it isn't;Wind speed and direction at surface Surface air temperature. Solar irradiance at the top of the atmosphere, also known as total solar irradiance. Cloud properties. Albedo. (https://www.researchgate.net/publication/336698640_Which_variables_are_essential_for_renewable_energies);10;;km;10;;km;Yes (http://tds.webservice-energy.org/thredds/in-situ.html);;102;Atmosphere (ECV);;;;;;;
101;Total monthly Precipitacions data in Spain;Accumulated monthly precipitation;Precipitation;https://gcos.wmo.int/en/essential-climate-variables/precipitation;;;;1;month;;;Yes it is;Temperature, Altitude, distance to the sea;10;;km;;;;AEMET;including all possible altitudes and land covers;105;Atmosphere (ECV);;;;;Download Service (OGC);;
102;Field boundaries with crop type and date;;Field Boundaries;https://agvariables.org/eav/field-boundaries;2;;m;45;day;;;Yes it is;Farming practices, soil properties, nutrient management;2;;m;;;;;Does not exist at scale;106;Agriculture (EAV);1;week;;;Download Service (OGC);;
103;Flowering DOY;The moment of the year a given plant species starts flowering;Phenology;https://geobon.org/ebvs/what-are-ebvs/#Phenology;1;;week;1;year;;;Yes it is;Temperature, vegetation coverage, climatic anomalies;50;;km;400;;m;pep725, GBIF;pep725: DATA ACCESSIBILITY. GBIF: Lack of accurate data;107;Biodiversity (EBV);1;month;;;Download Service (OGC);;
104;Energy assets in Leipzig;Energy production, consumption and storages;Air quality, Temperature, carbon-dioxide;;2;;m;1;day;;;No it isn't;meteorological stations, air quality sensors.;200;;m;2;1.5;m;Yes: https://www.marktstammdatenregister.de/MaStR/Einheit/Einheiten/ErweiterteOeffentlicheEinheitenuebersicht#stromerzeugung;Geolocation is missing (data security), data needed at bulding block level;108;Atmosphere (ECV);;;;;View and Download Service (OGC);;
105;Forest biomass sampled in tropical countries;Probabilistic samples of forest biomass measurements;Above-ground Biomass;https://gcos.wmo.int/en/essential-climate-variables/biomass;5;;%;2;year;1;year;Yes it is;biodiversity, soil carbon characteristics, tree height;25;5;km;;;;Some FAO publications:  Maps of national inventories with no access information. There is a USA dataset that can be downloaded at: https://apps.fs.usda.gov/fia/datamart/datamart.html;Lack of precise location data;109;Terrestrial (ECV);3;year;1;year;Cloud Service;;
106;Chlorophyll or turbidity;Amount of chlorophyll in volume of water that is related to alga biomass;Chlorophyll-a Concentration;https://gcos.wmo.int/en/essential-climate-variables/ocean-colour;5;;%;1;day;;;No it isn't;turbidity, clarity, currents, temperature of air and water, nutrients, salinity, dissolved oxygen;10;;m;1;;m;Yes (African countries, national governments, EMODNET);Lack of accessibility, openness, sustainability and temporal frequency.;110;Ocean (ECV & EOV);12;hour;;;Cloud Service;;
108;Urban PM;;PM2.5;https://www.eea.europa.eu/help/glossary/eea-glossary/pm2.5;10;5;ug/m3;24;hour;1;hour;;;1;1;km;;;;;;112;Atmosphere (ECV);1;year;1;month;;;
110;PM on high spatiotemporal resolution;;PM2.5;https://www.eea.europa.eu/help/glossary/eea-glossary/pm2.5;3;1;ug/m3;1;hour;2;minute;;;10;1;km;;;;EEA reference data;;114;Atmosphere (ECV);1;month;1;hour;Download Service (OGC);;
111;Fine particulate matter;;PM2.5;https://www.eea.europa.eu/help/glossary/eea-glossary/pm2.5;5;;%;1;day;1;hour;;;15;1;km;3;0;km;;;116;Atmosphere (ECV);1;day;1;hour;Download Service (OGC);;
112;Agriculture ammonia waste;Information on local agriculture activity;Ammonia (NH3);"https://www.eea.europa.eu/help/glossary/eper-chemicals-glossary/ammonia-nh3 ; https://vocab.nerc.ac.uk/collection/P01/current/AMNH3G01/";1;;ug/m3;1;hour;1;minute;;;10;1;km;;;;;;117;Agriculture (EAV);1;year;1;month;;;
113;Oxygen Data in Water;Oxygen concentraiton measurement in Berlin Lakes;Oxygen Concentration;https://www.geoglows.org/pages/working-group-3/#WaterQuality;5;0;%;1;hour;15;minute;1 Sensor per lake;Potentielly: Water temperature, pH, Conductivity;1;1;km;1;1;km;Other lakes (Distance not important - Connection between water bodies is);Partial fitting data set would be the sporadic manual measurement;118;Water (EWV);6;month;1;month;Download link;Other lakes (Distance not important - Connection between water bodies is);
114;Oxygen lakes Berlin;oygen data to determin the lake water quality;Oxygen Concentration;https://www.geoglows.org/pages/working-group-3/#WaterQuality;0.1;0.1;mg O2/L;1;hour;1;hour;;;10;1;m;1;1;m;;;119;Water (EWV);1;year;1;week;Cloud Service;;
115;Hydrological model in Ferrara neighborhood;;Runoff/Streamflow/river discharge;https://www.geoglows.org/pages/working-group-3/#RunoffStreamflowRiverdischarge;10;1;m;6;month;1;month;in situ data collection every 100 m;materials of surfaces, DTM, buildings, sewage network;10;1;m;0.1;0.01;m;;;120;Water (EWV);1;week;1;day;View and Download Service (OGC);;
116;Phenological data;Phenological data from the ground related to start and end of the season for vegetation;Phenology;https://geobon.org/ebvs/what-are-ebvs/#Phenology;5;2;days;;;2;day;Even within the same habitats;land use, habitats, species distribution;30;10;m;;;;ritmenatura.cat / FenoCat / PEP725;Low frequency and completeness;121;Biodiversity (EBV);3;month;1;month;Subscription Server, View and Download Service (OGC), Download link;;
117;"Habitat quality in the Iberian Peninsula ";"Integration of habitat fragmentation, biodiversity, singularity and abundance information ";Community composition;https://geobon.org/ebvs/what-are-ebvs/#CommunityComposition;10;5;% of global errors;10;year;5;year;Depending on landscape variability, so sampling could be not regular. More samples in complex areas and less samples in homogeneous areas.;Biodiversity indices of diffferent taxa, soil proprierties, structure indicators;30;10;m;;;;The dataset exists partially (habitat maps exist but quality habitat maps not). Also they have low time frequency;Low time frequency;122;Biodiversity (EBV);1;year;6;month;Download link;No;
121;Absence observations;Absence of species during an observational campaign;Species distributions;https://geobon.org/ebvs/what-are-ebvs/#SpeciesDistributions;;;;1;year;4;month;;;10;1;km;;;;occurrence of species;You can infer absence from no-occurence but with high uncertanty;126;Biodiversity (EBV);1;year;3;month;API;;
122;Biodiversity in Mostviertel;Pollinator transects to analyse distribution and frequency of pollinators.;Species distributions;https://geobon.org/ebvs/what-are-ebvs/#SpeciesDistributions;10;5;%;3;month;1;month;Access denied. I'm not authorized to access the page.;;10;5;m;;;;https://butterfly-monitoring.net/index.php/elastic/all-records;Access denied. I'm not authorized to access the page.;127;Biodiversity (EBV);3;month;1;month;View and Download Service (OGC);;
123;Meteorological data in Banyoles (Girona);Pluviometry, Evapotranspiration, temperature, humidity;Surface Temperature;https://gcos.wmo.int/en/essential-climate-variables/surface-temperature;10;3;%;1;month;1;hour;Every 100 m in Banyoles lake (buffer 10 km), homogeneous distribution.;Pluviometry, Evapotranspiration, humidity, and related variables;1000;10;m;10;1;m;https://meteo.cat/observacions/xema;"This data has the variables and temperature for day, not ";128;Atmosphere (ECV);1;month;1;day;Cloud Service, View and Download Service (OGC);;
124;Biotic and abiotic essential variables;Biotic and abiotic essential variables for the arctic;carbon flux;;;;;;;;;;;;;;;;;;;132;Geodiversity (EGV);;;;;Cloud Service;;
125;TEST Nature protegeres areas;" Classification of wetlands";Ecosystem variable;https://geobon.org/ebvs/what-are-ebvs/;5;2;?;1;year;1;year;"100 m in forest, 50 m in open land ";"Lakes, water bassins, ";100;100;m;25;25;m;;Topographic mapping;136;Biodiversity (EBV);1;week;1;week;Cloud Service, View and Download Service (OGC);;
125;TEST Nature protegeres areas;" Classification of wetlands";Ecosystem variable;https://geobon.org/ebvs/what-are-ebvs/;5;2;?;1;year;1;year;"100 m in forest, 50 m in open land ";"Lakes, water bassins, ";100;100;m;25;25;m;;Topographic mapping;136;" Water (EWV)";1;week;1;week;Cloud Service, View and Download Service (OGC);;
126;Biodiversity measures across ecosystems;;Range of variables;;;;;1;year;1;month;No need;Abiotic and socio-economic details of sampling site at sampling location;5;0.5;km;;;;;;137;Biodiversity (EBV);1;year;1;month;Cloud Service, View and Download Service (OGC);Only fragmented high thematic and spatio-temporal resolution;
126;Biodiversity measures across ecosystems;;Range of variables;;;;;1;year;1;month;No need;Abiotic and socio-economic details of sampling site at sampling location;5;0.5;km;;;;;;137;" Geodiversity (EGV)";1;year;1;month;Cloud Service, View and Download Service (OGC);Only fragmented high thematic and spatio-temporal resolution;
126;Biodiversity measures across ecosystems;;Range of variables;;;;;1;year;1;month;No need;Abiotic and socio-economic details of sampling site at sampling location;5;0.5;km;;;;;;137;" Ocean (ECV & EOV)";1;year;1;month;Cloud Service, View and Download Service (OGC);Only fragmented high thematic and spatio-temporal resolution;
126;Biodiversity measures across ecosystems;;Range of variables;;;;;1;year;1;month;No need;Abiotic and socio-economic details of sampling site at sampling location;5;0.5;km;;;;;;137;" Terrestrial (ECV)";1;year;1;month;Cloud Service, View and Download Service (OGC);Only fragmented high thematic and spatio-temporal resolution;
126;Biodiversity measures across ecosystems;;Range of variables;;;;;1;year;1;month;No need;Abiotic and socio-economic details of sampling site at sampling location;5;0.5;km;;;;;;137;" Water (EWV)";1;year;1;month;Cloud Service, View and Download Service (OGC);Only fragmented high thematic and spatio-temporal resolution;
127;Biomass;;Above-Ground Biomass;https://gcos.wmo.int/en/essential-climate-variables/biomass/;30;10;%;5;year;6;month;;eddy covariance flux-station, soil carbon, fires, LAI;1000;10;m;;;;;;138;Terrestrial (ECV);5;year;1;year;Subscription Server, View and Download Service (OGC), Download link;no;
129;Surface albedo of Poland;Surface albedo time series measurements to assess land cover changes in Poland;Albedo;https://gcos.wmo.int/en/essential-climate-variables/albedo/;3;1;%;3;month;1;week;no need to be even but cover different homogenous surface types;land use/land cover class with accordance to CORINE classification scheme;1000;300;m;;;;;;140;Terrestrial (ECV);1.5;month;3.5;week;View and Download Service (OGC);;
130;EarthSurface;Very basic RGB based observation results;;;;;;2;year;12;year;;;2.4;0.5;m;2.4;0.5;m;;;141;Atmosphere (ECV);1;year;5;year;API;;
132;Climatic data for Ebro basin;Long term and high quality climatic data;Essential Climate Variables;https://gcos.wmo.int/en/essential-climate-variables;10;2;%;1;month;1;day;meteorological data should be even distributed every 100m at each side of Ebro river;soil moisture, evaporation measurements;1;0.1;km;;;;http://www.saihebro.com/saihebro/index.php?url=/datos/introduccion;Difficult to access and download data;143;Water (EWV);1;month;0;day;;no;
134;"stand level above ground biomass ";"estimates of AGB from measurement of tree by tree diameter at breast height and tree species for 1ha field plots ";Above-ground Biomass;https://gcos.wmo.int/en/essential-climate-variables/biomass/;30;10;%;10;year;5;year;"Distribution is uneven following spatial gradients and forest types. ";meteorologic data, precise coordinates;;;;;;;;;146;Terrestrial (ECV);2;year;1;year;View and Download Service (OGC), API;data.geo-trees.org;
135;landscape above ground biomass;"estimates of AGB from airborne laser scans and plot based estimates for 1000 km2 areas ";Above-ground Biomass;https://gcos.wmo.int/en/essential-climate-variables/biomass;30;10;%;10;year;5;year;"Distribution is uneven following spatial gradients and forest types. ";meteorologic data;;;;;;;;;146;Terrestrial (ECV);2;year;1;year;View and Download Service (OGC), API;data.geo-trees.org;
138;Wheat croplands in Europe;Temporal change in land use from primary vegetation to wheat croplands;Ecosystem distribution of terrestrial EUNIS Habitats;https://github.com/EuropaBON/EBV-Descriptions/wiki/Terrestrial-Ecosystem-distribution-of-terrestrial-EUNIS-Habitats;10;1;meters;3;year;1;year;Not relevant for this sampling;Pollinators, plant species ocerrences, pests;100;10;m;100;10;m;Ecosystem distribution of terrestrial EUNIS Habitats;Still coarse resolution;148;Biodiversity (EBV);2;year;1;year;View and Download Service (OGC), Download link, API;;
140;Persistent Organic Pollutants levels in environment;Emissions of POPs into environment;Wastewater;;5;0;%;3;year;1;year;Important to have monitoring of POPs distributed evenly (not too concentrated and not too sparse, also considering the nature of development in the monitored area - i.e. forest, cities, villages...);air quality;;;;;;;https://data.pops-gmp.org/2020/all/#/gmp3/spatial-distribution#|;Better collection of data from providers (UN regions);150;Atmosphere (ECV);5;year;4;year;Subscription Server, View and Download Service (OGC);;
140;Persistent Organic Pollutants levels in environment;Emissions of POPs into environment;Wastewater;;5;0;%;3;year;1;year;Important to have monitoring of POPs distributed evenly (not too concentrated and not too sparse, also considering the nature of development in the monitored area - i.e. forest, cities, villages...);air quality;;;;;;;https://data.pops-gmp.org/2020/all/#/gmp3/spatial-distribution#|;Better collection of data from providers (UN regions);150;" Ocean (ECV & EOV)";5;year;4;year;Subscription Server, View and Download Service (OGC);;
140;Persistent Organic Pollutants levels in environment;Emissions of POPs into environment;Wastewater;;5;0;%;3;year;1;year;Important to have monitoring of POPs distributed evenly (not too concentrated and not too sparse, also considering the nature of development in the monitored area - i.e. forest, cities, villages...);air quality;;;;;;;https://data.pops-gmp.org/2020/all/#/gmp3/spatial-distribution#|;Better collection of data from providers (UN regions);150;" Terrestrial (ECV)";5;year;4;year;Subscription Server, View and Download Service (OGC);;
140;Persistent Organic Pollutants levels in environment;Emissions of POPs into environment;Wastewater;;5;0;%;3;year;1;year;Important to have monitoring of POPs distributed evenly (not too concentrated and not too sparse, also considering the nature of development in the monitored area - i.e. forest, cities, villages...);air quality;;;;;;;https://data.pops-gmp.org/2020/all/#/gmp3/spatial-distribution#|;Better collection of data from providers (UN regions);150;" Water (EWV)";5;year;4;year;Subscription Server, View and Download Service (OGC);;
141;Building and household census;Building and household information, such as vintage, heating system, floor area etc, routinely gathered during building and household census;;https://ec.europa.eu/eurostat/web/microdata;;;;10;year;;;Uniform distribution;Building and household census, such as type of building,  type of use,  construction period,  number of floors, type of roof ,size of building, construction period, energy carrier for space heating and  DHW;5;;m;3;;m;"https://www.statistics.gr/el/scientific_provision_data; https://bbr.dk/forside";Assumptions are still required for the creation of a build stock model;151;Atmosphere (ECV);;;;;Download link;;
142;Building footprint;Data on building footprint provided by Open Street Map;;;;;;10;year;;;Uniform;;5;;m;;;;https://osmbuildings.org/data/;Missing buildings and assumptions for extracting building floor area;151;Atmosphere (ECV);;;;;Download link, API;;
143;Google street view;Google street view to validate assumptions on building floors;;https://www.google.com/streetview/;;;;10;year;;;Uniform;;;;;3;;m;;;151;Atmosphere (ECV);;;;;View and Download Service (OGC);https://www.google.com/streetview/;
147;Post-fire in situ assessment and documention of affected assets;In Mediterranean countries (e.g. Greece, Italy, Spain) a detailed questionnaire/form is filled in by the competent authorities (e.g. fire brigade in Greece, Cabinieri Forestiali in Italy) that documents in detail. Only aggregates of this bottom-up work reaches the annual EFFIS reports. Additionally, JRC has set minimum requirements for the required information in 2014 â€œThe European Fire Database Technical specifications and data submissionâ€. The Mediterranean countries go well beyond this and could substantially inform the losses and damages domain.;"Impacted assets include including fatalities, injuries, type of timber affected, livestock, primary or secondary production businesses. From the EBVs:Primary productivity, Ecosystem disturbances ";Spanish example: https://www.miteco.gob.es/content/dam/miteco/es/biodiversidad/temas/incendios-forestales/parteincendioforestal_web_tcm30-132604.pdf;;;;;year;1;year;;;500;;m;;;;https://www.miteco.gob.es/content/dam/miteco/es/biodiversidad/temas/incendios-forestales/parteincendioforestal_web_tcm30-132604.pdf;EFFIS just receives the aggregated values of the reporting based on this kind of forms. Losses and damages, especially indirect losses necessitate the actual raw information;153;Biodiversity (EBV);;year;1;year;API;;
148;Profiling of individual fatalities;Recorded circumstances of individual deaths resulting from flood;ECV: River discharge, Victim: age, gender, residency, condition, activity, place, dynamiscs, cause, behavior, hazardous behavior;https://www.nature.com/articles/s41597-022-01273-x;;;;;year;1;year;Ad hoc;Victim: age, gender, residency, condition, activity, place, dynamics, cause, behavior, hazardous behavior;100;;m;;;;https://data.4tu.nl/datasets/02de55e3-9f58-4b8b-b94b-12bf3c209e62;Missing countries, missing years, missing detail;154;Terrestrial (ECV);;year;1;year;Download link;;
149;Database for recording climate-related damages on cultural heritage;Several policies require such information, not least the Sendai-related reporting. These is no standardized way for reporting such information with the added challenge being the measuring of cultural value and consequent damage. The DALIH database aims at providing a uniform way of doing so with local input (from a competent authority or even citizen science) being a prerequisite). It can also be utilized for impact modelling validation;ECV: Extreme weather events and cultural heritage asset-level documentation of damage and cost estimate;https://link.springer.com/chapter/10.1007/978-3-031-39450-8_88;;;;;year;0.5;year;;Variables regarding the extreme weather events that affected the cultural heritage asset;100;10;m;;;;https://www.dalih.org/app/#/;The website is currently unavailable. Climate related impacts are scarce, especially in Europe. This is a structured database that needs input from competent authorities;155;Atmosphere (ECV);;year;1;year;View and Download Service (OGC);;
150;Rainfall chemistry;Measurements of critical elements under the canopy and open field;Nitrate;https://gcos.wmo.int/site/global-climate-observing-system-gcos/essential-climate-variables/nutrients#Nitrate;0.1;0.02;mg/L;1;month;2;week;every 100 m in forest;Other cations and anions;1;1;km;;;;;;156;Terrestrial (ECV);1;year;1;month;Cloud Service, View and Download Service (OGC), API;Own elaboration;
151;Air chemistry;Measurements of Ozone, NH3 and NO2;Ozone;https://gcos.wmo.int/site/global-climate-observing-system-gcos/essential-climate-variables/ozone;;;ug/m3;1;month;1;hour;Every 100 m in forest;NH3 and NO2;1;1;km;2;2;m;;;156;Atmosphere (ECV);1;year;1;day;Cloud Service, View and Download Service (OGC), API;ACTRIS/Fluxnet;
152;"Geophysical observations in Antactica ";Complementing observation with previous studies to obtain robust ice sheet models;"Vertical ice velocity profiles ";https://gcos.wmo.int/en/essential-climate-variables/ice-sheets-ice-shelves;5;0.1;m s^-1;1;month;1;week;50 m;differential GPS;1;0.5;m;30;5;m;https://nsidc.org/data/measures;There's no vertical velocities profiles;157;Terrestrial (ECV);6;month;1;month;View and Download Service (OGC);;
153;Precipitation chemistry;Measurements of critical elements under the canopy and open field;Nitrate;https://gcos.wmo.int/site/global-climate-observing-system-gcos/essential-climate-variables/nutrients#Nitrate;0.1;0.02;mg/L;1;month;2;week;Every 100 m in forest;Other cations and anions and alkalinity (depending on pH);1;1;km;;;;;;158;Terrestrial (ECV);1;year;1;month;Cloud Service, View and Download Service (OGC), API;Own elaboration;
154;Foliage chemistry;Measurements of critical elements that may affect nutritional status of trees;Nitrate;https://gcos.wmo.int/site/global-climate-observing-system-gcos/essential-climate-variables/nutrients#Nitrate;0.1;0.02;mg/L;1;month;2;week;Every 100 m in forest;Other cations and anions;1;1;km;1;1;m;;;158;Biodiversity (EBV);1;year;1;month;Cloud Service, View and Download Service (OGC), API;Own elaboration;
