scope;key;field;eng;cat;spa
STAOperations;GeoFilterPolSTA;help;Gets a table with the records within a polygon. Requeres to be connected to another SensorThings API or a STAplus entity and to a table with a record that has a geometry (polygon).;Agafa una taula amb els registres dins d' un polígon. Torna a estar connectat a un altre sensorThings API o una entitat STP i a una taula amb un registre que té una geometria (poygon).;Consigue una tabla con los registros dentro de un polígono. Requeres estar conectado a otra API de SensorThings o una entidad STAplus y a una tabla con un registro que tiene una geometría (polygon).
STAOperations;GeoFilterPntSTA;description;Filter Rows by Distance;Filtra files per distància;Filtros por distancia
STAOperations;GeoFilterPntSTA;help;Gets a table with the records that are closer that a given distance of a point. Requeres to be connected to a SensorThings API or a STAplus node.;Agafa una taula amb els registres que estan més a prop que una distància donada d'un punt. Reques per estar connectats a un SensorThings API o un node STP.;Consigue una tabla con los registros que están más cerca de una distancia dada de un punto. Requeres estar conectado a una API de SensorThings o a un nodo STAplus.
STAOperations;SortBySTA;description;Sort by;Ordena per;Ordenar por
STAOperations;SortBySTA;help;Gets a table with data sorted by a given criteria. Requeres to be connected to a SensorThings API or a STAplus node.;Obté una taula amb dades ordenades per un criteri donat. Reques per estar connectats a un SensorThings API o un node STP.;Obtiene una tabla con datos ordenados por un determinado criterio. Requeres estar conectado a una API de SensorThings o a un nodo STAplus.
STAOperations;RangeSTA;description;Record range;Interval de gravació;Catálogo
STAOperations;RangeSTA;help;Gets a table with a subset of the records limiting the number of records and skiping some initial records. Implements $top and $skip. Requeres to be connected to a SensorThings API or a STAplus node.;Obtén una taula amb un subconjunt del registre que limita el nombre de registres i omet alguns registres inicials. Implementa $top i $skip. Reques per estar connectats a un SensorThings API o un node STP.;Obtiene una tabla con un subconjunto de los registros que limitan el número de registros y saltan algunos registros iniciales. Implementa $top y $skip. Requeres estar conectado a una API de SensorThings o a un nodo STAplus.
STAOperations;UploadObservations;description;Upload in STA;Puja a STA;Subir en STA
STAOperations;UploadObservations;help;Saves some observations to a SensorThings API or a STAplus server.;Desa algunes observacions a un sensorThings API o un servidor STP.;Guarda algunas observaciones a una API de SensorThings o a un servidor STAplus.
STAOperations;CalculateStatisticsSTA;description;Upload statistics in STA;Puja les estadístiques a STA;Actualizar estadísticas en STA
STAOperations;CalculateStatisticsSTA;help;Saves statistics of Observations in SensorThings API or a STAplus server.;Desa les estadístiques de les observacions en SensorThings API o un servidor STP.;Ahorra estadísticas de Observaciones en SensorThings API o un servidor STAplus.
STAOperations;CountResultsSTA;description;Count results;Compta els resultats;Resultados contables
STAOperations;CountResultsSTA;help;Returns the total number of records returned by the API query without loading them in a table. Only with STA data. Requeres to be connected to a SensorThings API or a STAplus entity node. This node can not be connected to other dependend nodes.;Retorna el nombre total de registres retornats per la consulta API sense carregar- los en una taula. Només amb dades STSA. Torna a estar connectat a un sensorThings API o un node d' entitat STP. Aquest node no es pot connectar amb altres nodes depenent.;Devuelve el número total de registros devueltos por la consulta API sin cargarlos en una tabla. Sólo con datos de STA. Requeres estar conectado a una API de SensorThings o a un nodo de entidad STAplus. Este nodo no puede estar conectado a otros nodos dependientes.
STAOperations;ViewQuerySTA;description;View Query;Visualitza Consulta;Ver Consulta
STAOperations;ViewQuerySTA;help;Shows the completed URL that is used to make the query to obtain the data from a service or an API of the depended node in a dialog box. Since the URL behind the active node is always represented in the query and table area, the use of this operation is no longer recommended.;Mostra l' URL completat que s' usa per a fer la consulta per obtenir les dades d' un servei o una API del node depenent d' una caixa de diàleg. Ja que l' URL darrera del node actiu sempre està representat a l' àrea de consulta i taula, l' ús d' aquesta operació ja no és recomanat.;Muestra la URL completa que se utiliza para hacer la consulta para obtener los datos de un servicio o una API del nodo dependiente en un cuadro de diálogo. Dado que la URL detrás del nodo activo siempre está representada en el área de consulta y tabla, el uso de esta operación ya no es recomendable.
STAOperations;OneValueSTA;description;One Value;Un valor;Un valor
STAOperations;OneValueSTA;help;Shows the last posted value. This value is updated according to the time period you set. Requeres to be connected to another SensorThings API or a STAplus entity. If WebSub available, it subscribes to a topic, opens a websocket connection and waits for updates, if not, it generates a HTTP request every n seconds. Do not requre to connect to previous sort by time. This node can not be connected to other dependend nodes.;Mostra el darrer valor informat. Aquest valor s' actualitza segons el període de temps que heu establert. Torna a estar connectat a un altre sensorThings API o una entitat STP. Si WebSub està disponible, es subscriu a un tema, obre una connexió webocket i espera actualitzacions, si no, genera una petició HTTP cada n segons. No tornis a connectar-se a l'anterior classe en el temps. Aquest node no es pot connectar amb altres nodes depenent.;Muestra el último valor publicado. Este valor se actualiza según el período de tiempo que establece. Requeres estar conectado a otra API de SensorThings o una entidad STAplus. Si WebSub está disponible, se suscribe a un tema, abre una conexión websocket y espera actualizaciones, si no, genera una solicitud HTTP cada n segundos. No reques para conectarse a tipo anterior por tiempo. Este nodo no puede estar conectado a otros nodos dependientes.
STAOperations;SubscribeSTA;description;Subscribe and alert;Subscriure i alerta;Suscripción y alerta
STAOperations;SubscribeSTA;help;Subscribes to notifications of change in the parent resource. It requires that the parent node is a STA or STAplus with WebSub available. Then it subscribes to a topic and opens a websocket connection and waits for updates. When new records are received, they are immediately added to the table.;Subscriu a les notificacions del canvi en el recurs pare. Cal que el node superior sigui un STP o STP amb WebSub disponible. Després es subscriu a un tema i obre una connexió web i espera actualitzacions. Quan es reben nous registres, s'afegiran immediatament a la taula.;Suscribe a notificaciones de cambio en el recurso padre. Requiere que el nodo padre es un STA o STAplus con WebSub disponible. Luego se suscribe a un tema y abre una conexión websocket y espera actualizaciones. Cuando se reciben nuevos registros, se añaden inmediatamente a la tabla.
TableOperationsType;Type;singular;Generic table tool;Eina de taula genèrica;Herramienta de mesa genérica
TableOperationsType;Type;plural;Generic table tools;Eines de taula genèriques;Herramientas de mesa genéricas
TableOperations;Table;description;View Table;Visualitza Taula;Cuadro
TableOperations;Table;help;Shows a table of the dependent node in a dialog box. Since the table behind the active node is represented in the table area, the use of this operation is no longer recommended.;Mostra una taula del node dependent en una caixa de diàleg. Des que la taula darrere del node actiu està representat a l' àrea de taula, l' ús d' aquesta operació ja no és recomanable.;Muestra una tabla del nodo dependiente en un cuadro de diálogo. Dado que la tabla detrás del nodo activo está representada en el área de mesa, el uso de esta operación ya no se recomienda.
TableOperations;EditRecord;description;Edit record;Edita el registre;Editar disco
TableOperations;EditRecord;help;Shows and allows editing a record in the table of the related node. NOTE: If you are using data from a web service and you ask for data again, this change will be lost.;Mostra i permet editar un registre en la taula del node relacionat. NOTA: Si esteu usant dades d' un servei web i demaneu dades un altre cop, aquest canvi es perdrà.;Muestra y permite editar un registro en la tabla del nodo relacionado. NOTA: Si está utilizando datos de un servicio web y pide datos de nuevo, este cambio se perderá.
TableOperations;Meaning;description;Column meaning;El significat de la columna;Columna que significa
TableOperations;Meaning;help;Shows and allows editing the semantics (definition and units of measure) of the table columns.;Mostra i permet editar les semàntices (inversió i unitats de mesura) de les columnes de la taula.;Muestra y permite editar la semántica (definición y unidades de medida) de las columnas de la tabla.
TableOperations;SelectColumnsTable;description;Select Columns;Selecciona columnes;Seleccionar columnas
TableOperations;SelectColumnsTable;help;Obtains a table only with the selected columns. Not recommended for SensorThings API or a STAplus entities as it removes the STA URL.;Obtén una taula només amb les columnes seleccionades. No és recomanable pel sensorThings API o entitats STP a mesura que elimina l' URL STA.;Obtiene una tabla sólo con las columnas seleccionadas. No se recomienda para SensorThings API o para entidades STAplus, ya que elimina la URL STA.
TableOperations;SelectRowTable;description;Select Row;Selecciona fila;Seleccionar fila
TableOperations;SelectRowTable;help;Obtains a table only with the selected record. Not recommended for SensorThings API or a STAplus entities as it removes the STA URL.;Obtén una taula només amb el registre seleccionat. No és recomanable pel sensorThings API o entitats STP a mesura que elimina l' URL STA.;Obtiene una tabla sólo con el registro seleccionado. No se recomienda para SensorThings API o para entidades STAplus, ya que elimina la URL STA.
TableOperations;FilterRowsTable;description;Filter Rows;Files de filtre;Filtros
TableOperations;FilterRowsTable;help;Obtain a table with the records that match the contitions. Not recommended for SensorThings API or a STAplus entities as it removes the STA URL.;Obtén una taula amb els registres que coincideixin amb les contisions. No és recomanable pel sensorThings API o entitats STP a mesura que elimina l' URL STA.;Obtenga una tabla con los registros que coinciden con las conticiones. No se recomienda para SensorThings API o para entidades STAplus, ya que elimina la URL STA.
TableOperations;Replace;description;Replace;Substitueix;Sustitución
TableOperations;Replace;help;Find and replace text, numbers, or data in one column or across the whole table;Cerca i reemplaça text, números, o dades en una columna o a través de tota la taula;Encontrar y reemplazar texto, números o datos en una columna o en toda la tabla
TableOperations;JoinTables;description;Join Tables;Uneix les taules;Únase a Tablas
TableOperations;JoinTables;help;Creates a single table that is the result of joining two tables using some selected column values in both tables to defined the merge criteria.;Crea una única taula que és el resultat d' afegir dues taules usant alguns valors de columnes seleccionats en ambdues taules per a definir el criteri de fusió.;Crea una sola tabla que es el resultado de unir dos tablas usando algunos valores de columna seleccionados en ambas tablas para definir los criterios de fusión.
TableOperations;ConcatenateTables;description;Concatenate Columns;Columnes concatenades;Columnas concatenadas
TableOperations;ConcatenateTables;help;Create a single table by adding the records of the second table to the first one. The columns with the same name in both tables are merged in a sigle column.;Crea una única taula afegint els registres de la segona taula al primer. Les columnes amb el mateix nom en ambdues taules es barrejaran en una columna sigle.;Crear una sola tabla añadiendo los registros de la segunda tabla a la primera. Las columnas con el mismo nombre en ambas tablas se fusionan en una columna de sigle.
TableOperations;GroupBy;description;Group by;Agrupa per;Group by
TableOperations;GroupBy;help;Creates a table will the columns containng selected statistics of the aggregation of some records that have the same values other selected columns.;Crea una taula, les columnes contenen estadístiques seleccionades de la mescla d' alguns registres que tenen els mateixos valors d' altres columnes seleccionades.;Crea una tabla contendrá las columnas estadísticas seleccionadas de la agregación de algunos registros que tienen los mismos valores que otras columnas seleccionadas.
TableOperations;SortByTables;description;Sort by;Ordena per;Ordenar por
TableOperations;SortByTables;help;Gets a table with data sorted by a given criteria.;Obté una taula amb dades ordenades per un criteri donat.;Obtiene una tabla con datos ordenados por un determinado criterio.
TableOperations;AggregateColumns;description;Aggregate Columns;Columnes arrossegades;Columnas agregadas
TableOperations;AggregateColumns;help;Adds a new column to a table with the aggregation of other previous selected columns.;Afegeix una nova columna a una taula amb l' agregament d' altres columnes seleccionades.;Añade una nueva columna a una tabla con la agregación de otras columnas seleccionadas anteriores.
TableOperations;CreateColumns;description;Create Columns;Crea columnes;Crear columnas
TableOperations;CreateColumns;help;Adds a new column to your table. This column can be left empty, filled with a constant value or filled with an autoincremental value.;Afegeix una nova columna a la vostra taula. Aquesta columna es pot deixar buida, omplerta amb un valor constant o omplert amb un valor incremental automàtic.;Añade una nueva columna a tu mesa. Esta columna se puede dejar vacía, llena de un valor constante o llenada de un valor autoincremental.
TableOperations;AddColumnPnt;description;Add point column;Afegeix columna de punt;Columna de punto
TableOperations;AddColumnPnt;help;Adds a new point column to your table that is a format transformation of a preexisting point column. The column can be a GeoJSON geometry (point), a Well Known Text (point), DGGS (polygon zone), or a pair of longitude/latitude columns.;Afegeix una nova columna de punt a la taula que és una transformació de format d' una columna de punt preexistent. La columna pot ser una geometria GeoJSON (punt), un text ben conegut (punt), DGS (plygon), o un parell de columnes longitud/latitud.;Añade una nueva columna de punto a tu tabla que es una transformación de formato de una columna de punto preexistente. La columna puede ser una geometría de GeoJSON (punto), un Texto bien conocido (punto), DGS (zona polígono), o un par de columnas longitud/latitud.
TableOperations;AddColumnBBox;description;Add BBox column;Afegeix columna BBox;Agregar la columna BBox
TableOperations;AddColumnBBox;help;Adds a new bounding box column to your table that is a format transformation of a preexisting bounding box column. The column can be a GeoJSON geometry (polygon), a Well Known Text (polygon), or four columns with longitude/latitude coordinates.;Afegeix una nova columna de caixa lligada a la vostra taula que és una transformació de format d' una columna de caixa preexistent. La columna pot ser una geometria GeoJSON (poligon), un text ben conegut (polygon), o quatre columnes amb coordenades longitud/latitud.;Añade una nueva columna de caja atada a tu tabla que es una transformación de formato de una columna de caja atada preexistente. La columna puede ser una geometría GeoJSON (polygon), un Texto bien conocido (polygon), o cuatro columnas con coordenadas longitud/latitud.
TableOperations;ColumnsCalculator;description;Columns calculator;Calculadora de columnes;Calculadora de columnas
TableOperations;ColumnsCalculator;help;Adds a new column to your table where for each record the new column contains the result of an operation involving other column values of that record.;Afegeix una nova columna a la vostra taula on es gravarà cada columna conté el resultat d' una operació que conté d' altres valors de columna d' aquest registre.;Añade una nueva columna a tu tabla donde para cada registro la nueva columna contiene el resultado de una operación que implica otros valores de columna de ese registro.
TableOperations;PivotTable;description;Pivot table;Taula de Pivot;Pivot table
TableOperations;PivotTable;help;Create a new table where some column content is transponsed into new columns;Crea una nova taula a on es transposa algun contingut de columna a les noves columnes;Crear una nueva tabla donde se transpone algún contenido de columna en nuevas columnas
TableOperations;TransposeTable;description;Transpose table;Reposa la taula;Mesa de transición
TableOperations;TransposeTable;help;"Swap rows and columns; new column names come from values of a chosen header column.";"Intercanvia files i columnes; nous noms de columnes vénen dels valors d' una columna de capçalera seleccionada.";"Cambie filas y columnas; nuevos nombres de columna provienen de valores de una columna de encabezado elegida."
TableOperations;ColumnStatistics;description;Columns statistics;Estadístiques de columnes;Estadísticas de columnas
TableOperations;ColumnStatistics;help;Create a table where, for each column the main statistics for the column values of all records are recorded.;Crea una taula on, per a cada columna les estadístiques principals per als valors de columna de tots els registres són gravats.;Cree una tabla donde, para cada columna se registran las principales estadísticas para los valores de columna de todos los registros.
TableOperations;SeparateColumns;description;Separate Columns;Columnes separades;Columnas separadas
TableOperations;SeparateColumns;help;Splits a column containing a JSON object into separated new columns and removes the original column.;Divideix una columna que conté un objecte JSON per separar noves columnes i elimina la columna original.;Se divide una columna que contiene un objeto JSON en nuevas columnas separadas y elimina la columna original.
TableOperations;SaveTable;description;Save Table;Desa la taula;Cuadro
TableOperations;SaveTable;help;"Saves the table contained in the node as a CSV (and CSVW if the column definition is semantically enriched; see 'meaning').";"Desa la taula continguda en el node com a CSV (i CSVW si la definició de columna està semànticament enriquida; mireu 'meaning').";"Ahorra la tabla contenida en el nodo como CSV (y CSVW si la definición de la columna está enriquecida semánticamente; vea 'significando')."
TableOperations;SaveLayer;description;Save Layer;Desa la capa;Guardar capas
TableOperations;SaveLayer;help;Saves the table as a GeoJSON. It requires two columns with a latitude and longitude values.;Desa la taula com a GeoJSON. Cal dues columnes amb valors latituds i longitud.;Guarda la mesa como GeoJSON. Requiere dos columnas con valores de latitud y longitud.
TableOperations;guf;description;Feedback;Comentaris;Feedback
TableOperations;guf;help;Retreives the geospatial user feedback related to the single row present in the table (e.g. a record forma CSW catalogue). It also allows for adding or editing feedback. It uses the NiMMbus repository and interface.;Retreu els comentaris d' usuari geospatial relacionats amb la única fila present en la taula (p. ex. un registre per al catàleg de CSW). També permet afegir o editar comentaris. Utilitza el repositori NiMMbus i interfície.;Retreives the geospatial user feedback related to the single row present in the table (e.g. a record formal CSW catalog). También permite añadir o editar comentarios. Utiliza el repositorio y la interfaz NiMMbus.
TableOperations;uploadToIC;description;Upload to inmutable catalog;Puja al catàleg inmutable;Subir al catálogo inmutable
TableOperations;uploadToIC;help;Upload data and metadata to an inmutable catalog.;Pugeu dades i metadades a un catàleg inmutable.;Cargue datos y metadatos a un catálogo inmutable.
tableStatisticsVisualizeType;Type;singular;Table tool for statistics and visualization;Eina de taula per a estadístiques i visualització;Herramienta de tabla para estadísticas y visualización
tableStatisticsVisualizeType;Type;plural;Table tools for statistics and visualization;Eines de taula per a estadístiques i visualització;Herramientas de tabla para estadísticas y visualización
tableStatisticsVisualize;ColumnStatistics;description;Columns statistics;Estadístiques de columnes;Estadísticas de columnas
tableStatisticsVisualize;ColumnStatistics;help;Create a table where, for each column the main statistics for the column values of all records are recorded.;Crea una taula on, per a cada columna les estadístiques principals per als valors de columna de tots els registres són gravats.;Cree una tabla donde, para cada columna se registran las principales estadísticas para los valores de columna de todos los registros.
tableStatisticsVisualize;ScatterPlot;description;Scatter Plot;Gràfic d' expansió;Scatter Plot
tableStatisticsVisualize;ScatterPlot;help;Creates a scatter plot with a the values of the column of a table.;Crea un gràfic dispersa amb els valors de la columna d' una taula.;Crea un diagrama de dispersión con los valores de la columna de una tabla.
tableStatisticsVisualize;BarPlot;description;Bar Plot;Gràfic de barres;Bar Plot
tableStatisticsVisualize;BarPlot;help;Create a bar or pie chart with a the values of the column of a table.;Crea un diagrama de barres o pastís amb els valors de la columna d' una taula.;Cree una barra o un gráfico de tarta con los valores de la columna de una tabla.
tableStatisticsVisualize;RadarPlot;description;Radar Plot;Gràfic Radar;Parcela de radar
tableStatisticsVisualize;RadarPlot;help;Create a radar (spider) chart. Add series one by one (a city, or a metric) like the Scatter Plot.;Crea una gràfica de radar (pid). Afegeix sèrie un per un (una ciutat, o una mètrica) com el gràfic d' expansió.;Cree un diagrama de radar (spider). Agregue la serie uno por uno (una ciudad, o una métrica) como el Scatter Plot.
tableStatisticsVisualize;ImageViewer;description;Image Viewer;Visor d' imatges;Image Viewer
tableStatisticsVisualize;ImageViewer;help;Shows the pictures referenced by a column. Assumes that the content of the column are url to images supported by the browser (commonly in JPEG or PNG format).;Mostra les fotografies referenciades per una columna. Assumeix que el contingut de la columna és url a imatges acceptades pel navegador (usualment en format JPEG o PNG).;Muestra las imágenes referenciadas por una columna. Supone que el contenido de la columna es url a imágenes soportadas por el navegador (comúnmente en formato JPEG o PNG).
tableStatisticsVisualize;OpenMap;description;Open Map;Obre mapa;Mapa abierto
tableStatisticsVisualize;OpenMap;help;Opens a table as a map in a map browser interface. It requires two columns with a latitude and longitude values.;Obre una taula com a mapa en una interfície del navegador del mapa. Cal dues columnes amb valors latituds i longitud.;Abre una tabla como mapa en una interfaz del navegador del mapa. Requiere dos columnas con valores de latitud y longitud.
dataQualityType;Type;singular;Table tool for data quality;Eina de taula per a qualitat de dades;Herramientas para la calidad de los datos
dataQualityType;Type;plural;Table tools for data quality;Eines de taula per a qualitat de dades;Herramientas para la calidad de los datos
dataQuality;uncertainty;description;Uncertainty;Incertesa;Incierto
dataQuality;uncertainty;help;Group values by time and space and calculate its uncertainties;Els valors de grup pel temps i l' espai i calculeu les seves incertes;Valores de grupo por tiempo y espacio y calcula sus incertidumbres
dataQuality;completness;description;Completeness;Totalitat;Completeness
dataQuality;completness;help;"Optional checks (numbers only, no pass/fail). Omission: empty or missing values in a column (optional Omission Flag). Commission (duplicates): duplicated records in a column (optional treat uppercase and lowercase as identical; optional Duplicate Flag). Commission excess: extra records beyond an expected record count.";"Comprovacions opcionals (només números, no passa/fail). Omissió: valors buits o desapareguts en una columna (opcional Omissió Bandera). Comissió (dupicates): duplicat els registres d' una columna (opcional tractant majúscules i minúscules com a idèntiques; opcional Duplica la bandera). Excés de la Comissió: informes extra més enllà d'un recompte de registres esperat.";"Cheques opcionales (sólo números, sin pase/fail). Omisión: valores vacíos o perdidos en una columna (Bandera de Omisión opcional). Comisión (duplica): registros duplicados en una columna (optional treat uppercase and lowercase as identical; Optional Duplicate Flag). Exceso de la Comisión: registros adicionales más allá de un recuento de registros esperado."
dataQuality;misclassificationMatrix;description;Misclassification Matrix;Misclassificació MatrixComment;Matriz de clasificación
dataQuality;misclassificationMatrix;help;The degree to which the assigned classifications correspond to the reference classifications, as represented by a matrix of correctly and incorrectly classified items;El grau a què les classificació assignades corresponen a les classificació de referència, com representades per una matriu d' elements correctament i classificats incorrectament;El grado en que las clasificaciones asignadas corresponden a las clasificaciones de referencia, representado por una matriz de artículos correctamente e incorrectos clasificados
dataQuality;logicalConsistency;description;Logical consistency;Transsistència lògica;Congruencia logística
dataQuality;logicalConsistency;help;Performs a logical consistency check to identify contradictions and ensure coherent data relationships.;Realitza una comprovació lògica per identificar les contradiccions i garantir les relacions amb les dades coherents.;Realiza un control lógico de consistencia para identificar contradicciones y asegurar relaciones coherentes de datos.
dataQuality;formatConsistency;description;Format consistency;Formata la consistència;Congruencia de formato
dataQuality;formatConsistency;help;Checks that values follow the expected format.;Comprova que els valors segueixen el format esperat.;Comprueba que los valores siguen el formato esperado.
dataQuality;temporalQuality;description;Temporal quality;Qualitat temporal;Calidad temporal
dataQuality;temporalQuality;help;Allows calculating temporal consistency, temporal validity and temporal resolution.;Permet calcular la consistència temporal, la validesa temporal i la resolució temporal.;Permite calcular la consistencia temporal, la validez temporal y la resolución temporal.
dataQuality;positionalQuality;description;Positional quality;Qualitat posicional;Calidad de la posición
dataQuality;positionalQuality;help;Allows calculating positional accuracy and positional validity;Permet calcular la precisió de posició i la validesa posicional;Permite calcular la exactitud posicional y la validez posicional
dataQuality;thematicQuality;description;Thematic quality;Qualitat temàtica;Calidad temática
dataQuality;thematicQuality;help;Allows calculating thematic accuracy and thematic validity;Permet calcular l' exactitud temàtica i la validesa temàtica;Permite calcular la exactitud temática y la validez temática
dataQuality;qualityResultsViewer;description;Quality results viewer;Visor dels resultats de la qualitat;Visualizador de resultados de calidad
dataQuality;qualityResultsViewer;help;Allows you to visualize the complete results from the linked quality node;Us permet visualitzar els resultats sencers del node de qualitat enllaçat;Permite visualizar los resultados completos del nodo de calidad vinculado
