scope;key;field;eng;cat;spa;revisat
dataQuality;qualityResultsViewer;help;Allows you to visualize the complete results from the linked quality node;Permet visualitzar els resultats complets del node de qualitat enllaáat;Permite visualizar los resultados completos del nodo de calidad vinculado;si
DialogFormatConsistency;also32Digits;label;Also accept 32 digits without hyphens;Accepta tambÇ 32 d°gits sense guionets;Aceptar tambiÇn 32 d°gitos sin guiones;si
DialogColumnsCalculator;and;button;and;i;y;si
DialogFormatConsistency;any;button;Any;Qualsevol;Cualquiera;si
DialogFormatConsistency;anyCharacter;label;Any character;Qualsevol carÖcter;Cualquier car†cter;si
DialogFormatConsistency;anyDigit;label;Any digit;Qualsevol d°git;Cualquier d°gito;si
DialogFormatConsistency;anyLetter;label;Any letter;Qualsevol lletra;Cualquier letra;si
DialogTableToolApiWarn;title;title;API data and table tools;Dades d'API i eines de taula;Datos de API y herramientas de tabla;si
chrome;apply;button;Apply;Aplica;Aplicar;si
clarification;applyingFilterWait;text;Applying filter ... It may take a while, please wait;"S'estÖ aplicant el filtre ... Pot trigar una estona; espereu";"Aplicando el filtro ... Puede tardar un poco; espere";si
DialogSelectSortBy;ascending;label;ascending;ascendent;ascendente;si
alert;needTwoAttrsOneAggregation;text;At least two attributes and one aggregation method have to be selected;Cal seleccionar almenys dos atributs i un mätode d'agregaci¢;Debe seleccionar al menos dos atributos y un mÇtodo de agregaci¢n;si
DialogQualityThematicQuality;attributeSelection;label;Attribute selection;Selecci¢ d'atributs;Selecci¢n de atributos;si
DialogColumnsCalculator;attribute;label;Attribute:;Atribut:;Atributo:;si
DialogGroupBy;attributesToAggregate;title;Attributes to aggregate:;Atributs a agregar:;Atributos a agregar:;si
DialogImportCSV;auto;label;Auto;Auto;Auto;si
DialogCreateColumns;autoincremental;label;Autoincemental value;Valor autoincremental;Valor autoincremental;si
DialogImportCSV;autoMeaning;label;Automatic retrieve of shared meaning;Recuperaci¢ automÖtica del significat compartit;Recuperaci¢n autom†tica del significado compartido;si
DialogImportGeoJSON;autoMeaning;label;Automatic retrieve of shared meaning;Recuperaci¢ automÖtica del significat compartit;Recuperaci¢n autom†tica del significado compartido;si
clarification;autoUpdateSelectColumnsNotImpl;text;Automatic update of SelectColumns not implemented for table nodes.;L'actualitzaci¢ automÖtica de Selecciona columnes STA no estÖ implementada per als nodes de taula.;La actualizaci¢n autom†tica de Selecciona columnas STA no est† implementada para los nodos de tabla.;si
clarification;availableAt;text;Available at: {0};Disponible a: {0};Disponible en: {0};s
DialogBarPlot;axes;title;Axes:;Eixos:;Ejes:;si
DialogFormatConsistency;letterAZ;button;A?Z;A?Z;A?Z;si
DialogBarPlot;bar;label;Bar;Barres;Barras;si
tableStatisticsVisualize;BarPlot;description;Bar Plot;GrÖfic de barres;Gr†fico de barras;si
DialogRadarPlot;beginAtZero;label;Begin at zero;Comenáa al zero;Empezar en el  cero;si
alert;bothParentsEvaluateAndReference;text;Both a parent to evaluate and a reference parent are required.;Cal tant un node pare per avaluar com un node pare de referäncia.;Se requiere tanto un nodo padre para evaluar como un nodo padre de referencia.;si
chrome;cancel;button;Cancel;Cancel˙la;Cancelar;s
alert;cannotFindIotIdInParent;text;Cannot find @iot.id in parent node {0}. Did you removed in a select?;No es pot trobar @iot.id en el node pare {0}. L'heu eliminat en una selecci¢?;No se puede encontrar @iot.id en el nodo padre {0}. ®Lo ha eliminado en una selecci¢n?;si
alert;cannotFindIotId;text;Cannot find @iot.id. Did you removed in a select?;No es pot trobar @iot.id. L'heu eliminat en una selecci¢?;No se puede encontrar @iot.id. ®Lo ha eliminado en una selecci¢n?;si
DialogFormatConsistency;cartesian;option;Cartesian / projected (X, Y) ? e.g. 430595.12;Cartesianes / projectades (X, Y) ? p. ex. 430595.12;Cartesianas / proyectadas (X, Y) ? p. ej. 430595.12;si
DialogEDC;catalogUrl;label;Catalog URL:;URL del catÖleg:;URL del cat†logo:;si
alert;catalogVersionUnsupported;text;Catalog version not supported.;La versi¢ del catÖleg no Çs compatible.;La versi¢n del cat†logo no es compatible.;si
DialogEDC;catalogVersion;label;Catalog version:;Versi¢ del catÖleg:;Versi¢n del cat†logo:;si
DialogSTAURL;titleOgcCsw;title;Catalogues (OGC CSW);CatÖlegs (OGC CSW);Cat†logos (OGC CSW);si
DialogRadarPlot;categoriesAsAxes;label;Categories as axes;Categories com a eixos;Categor°as como ejes;si
DialogBarPlot;categories;label;Categories:;Categories:;Categor°as:;si
DialogRadarPlot;categories;label;Categories:;Categories:;Categor°as:;si
DialogGeospatialFilterRowsByDistance;centerPoint;title;Center Point;Punt central;Punto central;si
dataQuality;formatConsistency;help;Checks that values follow the expected format.;Comprova que els valors segueixen el format esperat.;Comprueba que los valores siguen el formato esperado.;si
DialogSelectExpands;chooseEntities;title;Choose entities you want details (expand) and attributes to select;Escolliu les entitats de les quals voleu detalls (expand) i els atributs a seleccionar;Elija las entidades de las que desea detalles (expand) y los atributos a seleccionar;si
DialogConcatenateTables;chooseOption;title;Choose one option;Escolliu una opci¢;Elija una opci¢n;si
DialogFilterRowEntities;chooseWay;title;Choose the way to get to the Entity you want to filter;Escolliu el cam° per arribar a l'entitat que voleu filtrar;Elija el camino para llegar a la entidad que desea filtrar;si
alert;columnNameAlreadyExistsTpl;text;Chosen column name ({0}) already exists, change it to add column to the list;"El nom de columna seleccionat ({0}) ja existeix; canvieu-lo per afegir la columna a la llista";"El nombre de columna seleccionado ({0}) ya existe; c†mbielo para a§adir la columna a la lista";si
alert;columnNameAlreadyExists;text;Chosen column name already exists, change it to add column to the list;"El nom de columna seleccionat ja existeix; canvieu-lo per afegir la columna a la llista";"El nombre de columna seleccionado ya existe; c†mbielo para a§adir la columna a la lista";si
DialogBarPlot;classification;label;Classification (optional):;Classificaci¢ (opcional):;Clasificaci¢n (opcional):;si
DialogQualityMisclassificationMatrix;classified;label;Classified;Classificat;Clasificado;si
chrome;close;button;Close;Tanca;Cerrar;si
DialogGUF;code;label;Code*:;Codi*:;C¢digo*:;s
DialogGUF;codespace;label;Codespace*:;Espai de codis*:;Espacio de c¢digos*:;s
DialogUploadIC;column;title;Column;Columna;Columna;s
DialogQualityLogicalConsistency;columnN;label;Column {0};Columna {0};Columna {0};s
alert;columnListEmpty;text;Column list is empty. Table will not be created.;La llista de columnes Çs buida. La taula no es crearÖ.;La lista de columnas est† vac°a. La tabla no se crear†.;s
TableOperations;Meaning;description;Column meaning;Significat de la columna;Significado de la columna;s
DialogMeaningTable;heading;text;Column name, type, meaning and units;Nom de columna, tipus, significat i unitats;Nombre de columna, tipo, significado y unidades;s
DialogCreateColumns;columnName;title;Column name:;Nom de la columna:;Nombre de la columna:;s
DialogAggregateColumns;columnName;title;Column name:;Nom de la columna:;Nombre de la columna:;s
DialogColumnsCalculator;columnName;title;Column name:;Nom de la columna:;Nombre de la columna:;s
DialogAddColumnPnt;columnName;label;Column name:;Nom de la columna:;Nombre de la columna:;s
DialogAddColumnBBox;columnName;label;Column name:;Nom de la columna:;Nombre de la columna:;s
DialogQualityThematicQuality;columnToAssess;label;Column to assess:;Columna a d'avaluar:;Columna que a evaluar:;s
DialogUncertainty;columnX;text;Column X:;Columna X:;Columna X:;s
DialogUncertainty;columnY;text;Column Y:;Columna Y:;Columna Y:;s
DialogUncertainty;column;text;Column:;Columna:;Columna:;s
DialogFormatConsistency;column;label;Column:;Columna:;Columna:;s
DialogPivotTable;columns;title;Columns;Columnes;Columnas;s
DialogUploadIC;columns;title;Columns;Columnes;Columnas;s
DialogRadarPlot;columnsAsAxes;label;Columns as axes;Columnes com a eixos;Columnas como ejes;s
TableOperations;ColumnsCalculator;description;Columns calculator;Calculadora de columnes;Calculadora de columnas;si
TableOperations;ColumnStatistics;description;Columns statistics;Estad°stiques de les columnes;Estad°sticas de las columnas;si
tableStatisticsVisualize;ColumnStatistics;description;Columns statistics;Estad°stiques de columnes;Estad°sticas de columnas;si
DialogQualityMisclassificationMatrix;columnsToCompare;text;Columns to compare:;Columnes per comparar:;Columnas para comparar:;s
DialogSeparateColumns;columnsToSeparate;title;Columns to separate:;Columnes que cal separar:;Columnas que se deben separar:;s
DialogSeparateColumns;columnsWithJson;label;Columns with JSON objects;Columnes amb objectes JSON;Columnas con objetos JSON;s
DialogCompleteness;commissionDup;title;Commission (duplicates);Comissi¢ (duplicats);Comisi¢n (duplicados);s
DialogCompleteness;commissionExcess;title;Commission excess;ExcÇs de comissi¢;Exceso de comisi¢n;s
clarification;completed;text;Completed.;S'ha completat.;Completado.;s
dataQuality;completness;description;Completeness;Completesa;Completitud;s
DialogCompleteness;title;title;Completeness;Completesa;Completitud;s
STASpecialQueriesType;Type;plural;Complex queries;Consultes complexes;Consultas complejas;s
STASpecialQueriesType;Type;singular;Complex query;Consulta complexa;Consulta compleja;si
DialogConcatenateTables;allColumns;label;Concatenate all columns;Concatena totes les columnes;Concatenar todas las columnas;s
TableOperations;ConcatenateTables;description;Concatenate Columns;Concatena  columnes;Concatena columnas;si
DialogConcatenateTables;onlyRepeated;label;Concatenate only repeated columns;Concatena nomÇs les columnes repetides;Concatenar s¢lo las columnas repetidas;s
clarification;connected;text;Connected.;Connectat.;Conectado.;s
clarification;connectionSameNode;text;Connection to the same node is not allowed.;No es permet la connexi¢ amb el mateix node.;No se permite la conexi¢n con el mismo nodo.;s
DialogCreateColumns;constantValue;label;Constant value;Valor constant;Valor constante;s
DialogEDC;consumerUrl;label;Consumer URL:;URL del consumidor:;URL del consumidor:;s
chrome;continue;button;Continue;Continua;Continuar;s
DialogGeospatialFilterRowsByDistance;coordX;label;Coordinate X:;Coordenada X:;Coordenada X:;s
DialogGeospatialFilterRowsByDistance;coordY;label;Coordinate Y:;Coordenada Y:;Coordenada Y:;s
DialogFormatConsistency;coordinates;label;Coordinates;Coordenades;Coordenadas;s
DialogQualityPositionalQuality;coordinatesUnits;label;Coordinates units;Unitats de les coordenades;Unidades de las coordenadas;s
DialogAddColumnBBox;coordinates;label;Coordinates:;Coordenades:;Coordenadas:;s
STAOperations;CountResultsSTA;description;Count results;Compta els resultats;Conta los resultados;si
chrome;create;button;Create;Crea;Crear;s
tableStatisticsVisualize;BarPlot;help;Create a bar or pie chart with a the values of the column of a table.;Crea un grÖfic de barres o de sectors amb els valors de la columna d'una taula.;Crea un gr†fico de barras o de sectores con los valores de la columna de una tabla.;s
TableOperations;PivotTable;help;Create a new table where some column content is transponsed into new columns;Crea una nova taula on el contingut d'algunes columnes es transposa en noves columnes;Crea una nueva tabla donde el contenido de algunas columnas se transpone en nuevas columnas;si
tableStatisticsVisualize;RadarPlot;help;Create a radar (spider) chart. Add series one by one (an item or a metric) like the Scatter Plot.;Crea un grÖfic de radar (aranya). Afegeix les säries una a una com al grÖfic de dispersi¢.;Crea un gr†fico de radar (ara§a). A§ade las series una a una como en el gr†fico de dispersi¢n.;si
TableOperations;ConcatenateTables;help;Create a single table by adding the records of the second table to the first one. The columns with the same name in both tables are merged in a sigle column.;Crea una £nica taula afegint els registres de la segona taula a la primera. Les columnes amb el mateix nom a totes dues taules es fusionen en una sola columna.;Crea una £nica tabla a§adiendo los registros de la segunda tabla a la primera. Las columnas con el mismo nombre en ambas tablas se fusionan en una sola columna.;si
TableOperations;ColumnStatistics;help;Create a table where, for each column the main statistics for the column values of all records are recorded.;Crea una taula on, per a cada columna, es calculen les estad°stiques principals dels valors de la columna de tots els registres.;Crea una tabla donde, para cada columna, se calculan las estad°sticas principales de los valores de la columna de todos los registros.;si
tableStatisticsVisualize;ColumnStatistics;help;Create a table where, for each column the main statistics for the column values of all records are recorded.;Crea una taula on, per a cada columna, es calculen les estad°stiques principals dels valors de la columna de tots els registres.;Crea una tabla donde, para cada columna, se calculan las estad°sticas principales de los valores de la columna de todos los registros.;si
TableOperations;CreateColumns;description;Create Columns;Crea columnes;Crea columnas;si
DialogQualityThematicQuality;createGroupedResult;label;Create new columns with grouped result;Crea columnes noves amb el resultat agrupat;Crear columnas nuevas con el resultado agrupado;s
DialogQualityTemporalQuality;createMeanUncertaintyCols;label;Create new columns with mean and uncertainty;Crea columnes noves amb la mitjana i la incertesa;Crear columnas nuevas con la media y la incertidumbre;s
DialogQualityPositionalQuality;createMeanUncertainty;label;Create new columns with mean and uncertantly;Crea columnes noves amb la mitjana i la incertesa;Crear columnas nuevas con la media y la incertidumbre;s
tableStatisticsVisualize;ScatterPlot;help;Creates a scatter plot with a the values of the column of a table.;Crea un grÖfic de dispersi¢ amb els valors de la columna d'una taula.;Crea un gr†fico de dispersi¢n con los valores de la columna de una tabla.;si
TableOperations;JoinTables;help;Creates a single table that is the result of joining two tables using some selected column values in both tables to defined the merge criteria.;Crea una £nica taula que Çs el resultat d'unir dues taules utilitzant els valors d'algunes columnes seleccionades a totes dues taules per definir el criteri de fusi¢.;Crea una £nica tabla que es el resultado de unir dos tablas utilizando los valores de algunas columnas seleccionadas en ambas tablas para definir el criterio de fusi¢n.;si
TableOperations;GroupBy;help;Creates a table will the columns containng selected statistics of the aggregation of some records that have the same values other selected columns.;Crea una taula amb les columnes que contenen les estad°stiques seleccionades de l'agregaci¢ d'alguns registres que tenen els mateixos valors en altres columnes seleccionades.;Crea una tabla con las columnas que contienen las estad°sticas seleccionadas de la agregaci¢n de algunos registros que tienen los mismos valores en otras columnas seleccionadas.;si
clarification;creatingEntity;text;Creating a/an {0}...;S'estÖ creant un/a {0}...;Se est† creando un/a {0}...;s
DialogUploadIC;ccBy;option;Creative Commons Attribution 4.0 (CC BY);Creative Commons Reconeixement 4.0 (CC BY);Creative Commons Atribuci¢n 4.0 (CC BY);s
DialogUploadIC;ccByNd;option;Creative Commons Attribution No Derivatives 4.0 (BY-ND);Creative Commons Reconeixement Sense Obres Derivades 4.0 (BY-ND);Creative Commons Atribuci¢n Sin Obras Derivadas 4.0 (BY-ND);s
DialogUploadIC;ccByNcSa;option;Creative Commons Attribution Non Commercia Share Alike l4.0 (BY-NC-SA);Creative Commons Reconeixement No Comercial Compartir Igual 4.0 (BY-NC-SA);Creative Commons Atribuci¢n No Comercial Compartir Igual 4.0 (BY-NC-SA);s
DialogUploadIC;ccByNc;option;Creative Commons Attribution Non Commercial 4.0 (BY-NC);Creative Commons Reconeixement No Comercial 4.0 (BY-NC);Creative Commons Atribuci¢n No Comercial 4.0 (BY-NC);s
DialogUploadIC;ccByNcNd;option;Creative Commons Attribution Non Commercial No Derivatives 4.0 (BY-NC-ND);Creative Commons Reconeixement No Comercial Sense Obres Derivades 4.0 (BY-NC-ND);Creative Commons Atribuci¢n No Comercial Sin Obras Derivadas 4.0 (BY-NC-ND);s
DialogUploadIC;ccBySa;option;Creative Commons Attribution Share Alike 4.0 (BY-SA);Creative Commons Reconeixement Compartir Igual 4.0 (BY-SA);Creative Commons Atribuci¢n Compartir Igual 4.0 (BY-SA);s
DialogUploadIC;cc0;option;Creative Commons Public domain 1.0 (CC0);Creative Commons Domini p£blic 1.0 (CC0);Creative Commons Dominio p£blico 1.0 (CC0);s
clarification;credentialsReceived;text;Credentials received;S'han rebut les credencials;Se han recibido las credenciales;s
DialogAddColumnPnt;crs;label;CRS:;CRS:;CRS:;s
DialogAddColumnBBox;crs;label;CRS:;CRS:;CRS:;s
DialogSaveTable;csvDelimiter;label;CSV delimiter:;Delimitador CSV:;Delimitador CSV:;s
clarification;csvParseError;text;CSV parse error: {0} The file content fragment:\n{1};Error en l'anÖlisi del CSV: {0} Fragment del contingut del fitxer:\n{1};Error en el an†lisis del CSV: {0} Fragmento del contenido del archivo:\n{1};si
DialogImportCSV;csvSource;title;CSV source;Font del CSV;Fuente del CSV;s
DialogSaveTable;csvCsvw;title;CSV+CSVW;CSV+CSVW;CSV+CSVW;s
DialogImportCSV;csvwUrl;label;CSVW URL:;URL del CSVW:;URL del CSVW:;s
DialogFormatConsistency;customPattern;label;Custom pattern;Patr¢ personalitzat;Patr¢n personalizado;s
DialogRadarPlot;dataLayout;title;Data layout:;Disposici¢ de les dades:;Disposici¢n de los datos:;s
DialogScatterPlot;dataTimeTicks;label;Data time ticks interval:;Interval de marques de temps de les dades:;Intervalo de marcas de tiempo de los datos:;s
clarification;datastreamAvailableSta;text;Datastream {0} available in STA;Datastream {0} disponible a STA;Datastream {0} disponible en STA;s
DialogFormatConsistency;date;label;Date;Data;Fecha;s
DialogSaveLayer;dateAndTime;label;Date and time:;Data i hora:;Fecha y hora:;s
DialogUploadObservations;dateAndTime;label;Date and time:;Data i hora:;Fecha y hora:;s
DialogUploadIC;dateColumn;title;Date column;Columna amb la data;Columna con la fecha;s
DialogFilterRowsByTime;day;option;Day;Dia;D°a;s
DialogUncertainty;days;label;Days;Dies;D°as;s
DialogQualityTemporalQuality;days;label;Days;Dies;D°as;s
DialogSaveTable;dbf;title;DBF;DBF;DBF;s
clarification;dbfParseError;text;DBF parse error: {0};Error d'anÖlisi de la DBF: {0};Error de an†lisis de la DBF: {0};si
DialogImportDBF;source;title;DBF source;Font DBF;Fuente DBF;s
clarification;dbfLoaded;text;DBF table has been loaded.;S'ha carregat la taula DBF.;Se ha cargado la tabla DBF.;si
clarification;dbfNoRecords;text;DBF table has no records.;La taula DBF no tÇ registres.;La tabla DBF no tiene registros.;si
DialogFormatConsistency;dd;option;Decimal Degrees (DD) ? e.g. 41.40338;Graus decimals (DD) ? p. ex. 41.40338;Grados decimales (DD) ? p. ej. 41.40338;s
DialogFormatConsistency;decimalPoint;label;Decimal point (not comma);Punt decimal (no coma);Punto decimal (no coma);s
alert;definitionUomRequired;text;Definition (unitOfMeasurements) parameter is required, please fill in the box before send;"El parÖmetre de definici¢ (unitOfMeasurements) Çs obligatori; ompliu la casella abans d'enviar-lo";"El par†metro de definici¢n (unitOfMeasurements) es obligatorio; rellene la casilla antes de enviarlo";si
DialogQualityPositionalQuality;degrees;option;Degrees;Graus;Grados;s
DialogFormatConsistency;ddm;option;Degrees and decimal minutes (DDM) ? e.g. 41¯24.2033?N;Graus i minuts decimals (DDM) ? p. ex. 41¯24.2033?N;Grados y minutos decimales (DDM) ? p. ej. 41¯24.2033?N;s
DialogFormatConsistency;dms;option;Degrees, minutes and seconds (DMS) ? e.g. 41¯24?12.2?N;Graus, minuts i segons (DMS) ? p. ex. 41¯24?12.2?N;Grados, minutos y segundos (DMS) ? p. ej. 41¯24?12.2?N;s
chrome;delete;button;Delete;Suprimeix;Eliminar;s
clarification;deletingEntity;text;Deleting  {0} {1} ...;S'estÖ suprimint {0} {1} ...;Eliminando {0} {1} ...;s
DialogSeparateColumns;delimitedBy;label;delimited by:;delimitades per:;delimitadas por:;s
DialogImportCSV;delimiter;title;Delimiter;Delimitador;Delimitador;s
DialogSelectSortBy;descending;label;descending;descendent;descendente;s
DialogQualityTemporalQuality;description;label;Description;Descripci¢;Descripci¢n;s
alert;descriptionRequired;text;Description parameter is required, please fill in the box before send;El parÖmetre description Çs obligatori, ompliu la casella abans d'enviar;El par†metro description es obligatorio, rellene la casilla antes de enviar;si
DialogSaveLayer;dggs;label;DGGS:;DGGS:;DGGS:;s
DialogAddColumnPnt;dggs;label;DGGS:;DGGS:;DGGS:;s
DialogDGGSCodesBbox;dggs;label;DGGS:;DGGS:;DGGS:;s
DialogFormatConsistency;digit;button;Digit;D°git;D°gito;s
DialogFormatConsistency;digitsAfterPrefix;label;Digits after prefix:;D°gits desprÇs del prefix:;D°gitos despuÇs del prefijo:;s
DialogJoinTables;discard;label;Discard;Descarta;Descartar;s
DialogGeospatialFilterRowsByDistance;distance;label;Distance;DistÖncia;Distancia;s
DialogQualityTemporalQuality;distanceBaseline;label;Distance from the global interval baseline;DistÖncia des de la l°nia base de l'interval global;Distancia desde la l°nea base del intervalo global;s
